subarea,lat_mid,long_mid,zoom
Region,47.615,-122.257,8.5
North King County,47.673476,-122.293585,11.5
South King County,47.3632945,-122.2575735,10.5
East King County ,47.627942,-122.01364,10.5
Kitsap County,47.613817,-122.6797035,10.5
Pierce County,47.23624,-122.4126555,10.5
Snohomish County,48.025367,-122.043507,10
